left_stim_name,left_stim_number,right_stim_name,right_stim_number,shceduled_outcome,stim_onset,key_press,RT,accuracy,reward_outcome,feedback_onset,block
./Stims/2.bmp,6,./Stims/5.bmp,1,1,290.18926620000093,4,2.995074399999794,1,correct_reward,295.19434470000124,0
./Stims/1.bmp,4,./Stims/4.bmp,3,1,297.0688616000007,1,3.8274516999990738,1,correct_reward,302.90976899999987,0
./Stims/6.bmp,2,./Stims/3.bmp,5,1,305.09685870000067,1,1.863831399999981,0,incorrect,308.9757195000002,0
./Stims/2.bmp,6,./Stims/5.bmp,1,0,311.997731200001,4,0.5867644999998447,1,correct_unrewarded,314.5936934000001,0
./Stims/3.bmp,5,./Stims/6.bmp,2,1,317.6146871000001,4,1.329642700000477,1,correct_reward,320.95988469999975,0
./Stims/1.bmp,4,./Stims/4.bmp,3,1,322.8340814000003,4,1.6782301000002917,1,correct_reward,326.5272765000009,0
./Stims/4.bmp,3,./Stims/1.bmp,4,1,329.6468466000006,4,2.7695342999995773,0,incorrect,334.4252408000011,0
./Stims/3.bmp,5,./Stims/6.bmp,2,0,337.44816770000034,4,7.144261900000856,1,correct_unrewarded,346.6096376000005,0
./Stims/2.bmp,6,./Stims/5.bmp,1,1,349.6317467000008,1,2.3607334999996965,1,correct_reward,354.00994660000106,0
./Stims/4.bmp,3,./Stims/1.bmp,4,1,360.240492500001,4,1.5039498000005551,0,incorrect,363.75813910000034,0
./Stims/5.bmp,1,./Stims/2.bmp,6,0,366.78112130000045,1,1.0833462999999028,0,probabalistic_reward,369.8750192999996,0
./Stims/6.bmp,2,./Stims/3.bmp,5,1,375.48979620000136,4,1.49458980000054,0,incorrect,378.99258929999996,0
./Stims/3.bmp,5,./Stims/6.bmp,2,1,382.01563630000055,1,1.328857299999072,1,correct_reward,385.3586410000007,0
./Stims/4.bmp,3,./Stims/1.bmp,4,1,387.8595174000002,4,6.804985599999782,0,incorrect,396.67545040000005,0
./Stims/2.bmp,6,./Stims/5.bmp,1,1,399.69835930000045,1,3.2860864000012953,1,correct_reward,404.9922478999997,0
./Stims/5.bmp,1,./Stims/2.bmp,6,1,409.05150239999966,4,10.804990000000544,0,incorrect,421.87397489999967,0
./Stims/4.bmp,3,./Stims/1.bmp,4,0,424.8979056999997,1,6.350606899999548,0,probabalistic_reward,433.258554,0
./Stims/3.bmp,5,./Stims/6.bmp,2,1,443.5463445000005,4,1.670281900000191,1,correct_reward,447.22490300000027,0
./Stims/6.bmp,2,./Stims/3.bmp,5,1,455.0203923000008,4,4.916209700000763,0,incorrect,461.95754769999985,0
./Stims/1.bmp,4,./Stims/4.bmp,3,0,464.9795498000003,1,1.412934600000881,1,correct_unrewarded,468.40738200000123,0
./Stims/2.bmp,6,./Stims/5.bmp,1,1,471.43132309999964,4,0.6732318000013038,1,correct_reward,474.1244783000002,0
